Radius,BStrength,ApexHeight,OrientationCme,iHelicity,restartdir,realization
0.71875,5.66083913,0.738740234,211.025,1,12,4
0.50375,19.74151985,0.563098047,185.825,-1,12,4
0.40875,32.69379969,0.454606641,227.225,-1,12,4
0.44625,30.06612745,0.472885547,169.625,1,12,4
0.55375,9.759272009,0.532811328,188.075,-1,12,4
0.71625,8.663843805,0.722741016,168.275,-1,4,9
0.39625,17.00861987,0.408756641,194.825,1,4,9
0.70375,12.91664742,0.824926953,216.875,-1,4,9
0.57625,6.967998915,0.678714453,224.075,1,4,9
0.37875,18.64073432,0.461009766,161.525,-1,4,9
0.33375,41.32117041,0.323007422,174.125,1,4,9
0.52875,21.43485225,0.557335547,221.825,-1,4,9
0.74875,13.78126461,0.731669141,241.625,1,4,9
0.66125,15.7664414,0.723035547,170.525,-1,4,9
0.44125,30.77000708,0.518882422,199.775,-1,4,9
0.72125,11.49228336,0.807574609,238.925,-1,4,9
0.40625,34.73588462,0.459443359,158.375,1,4,9
0.38375,27.5851873,0.384349609,183.575,-1,4,9
0.79625,8.598434066,0.716873828,215.075,-1,4,9
0.49625,25.63741184,0.469111328,205.625,-1,4,9
0.30125,29.11063278,0.305674609,163.775,-1,4,9
0.46625,29.00556971,0.416273828,180.875,1,4,9
0.73125,14.91463675,0.641900391,176.825,-1,4,9
0.59375,18.45852105,0.704892578,181.775,1,4,9
0.67625,20.63023567,0.627855859,211.925,-1,4,9
0.32875,32.8501616,0.408163672,204.275,1,4,9
0.48375,17.7970478,0.524415234,228.575,1,4,9
0.68875,16.22275408,0.764727734,197.975,1,4,9
0.60625,12.87924227,0.757244141,227.675,-1,4,9
0.33875,13.11486162,0.389456641,169.175,1,4,9
0.46125,18.20194444,0.567481641,156.575,1,4,9
0.55625,23.16012921,0.613439453,244.775,1,4,9
0.62625,5.985174651,0.596698828,177.275,1,4,9
0.44375,13.86379577,0.431130859,234.875,-1,4,9
0.74375,15.52585294,0.895521484,188.525,-1,4,9
0.61375,21.59959776,0.541058984,232.625,-1,4,9
0.63875,18.24530822,0.627771484,200.225,-1,4,9
0.67375,9.686071429,0.769548828,226.325,1,4,9
0.53625,12.0700641,0.641656641,211.475,-1,4,9
0.48875,15.64764066,0.451024609,178.625,-1,4,9
0.76875,12.8668252,0.818958984,206.075,-1,4,9
0.47125,26.09064324,0.530303516,191.675,1,4,9
0.76125,16.01100575,0.902319141,235.775,1,4,9
0.51125,23.00445599,0.588736328,160.625,-1,4,9
0.65625,18.40996667,0.679423828,215.975,1,4,9
0.72375,13.88825993,0.819873047,175.925,1,12,5
0.62375,19.19792084,0.573265234,222.275,1,12,5
0.32625,14.9272318,0.312078516,202.925,-1,12,5
0.63125,8.476480198,0.750595703,240.725,1,12,5
0.78375,16.09662281,0.757053516,226.775,-1,12,5
0.34125,36.34301282,0.407047266,195.725,1,12,5
0.60375,20.9840942,0.698651953,187.175,-1,12,5
0.69375,13.48783333,0.702638672,201.575,-1,12,5
0.32375,38.8025,0.363712891,242.075,-1,12,5
0.36625,33.42470137,0.358581641,166.025,-1,12,5
0.54625,9.306516018,0.566563672,218.225,-1,12,5
0.39125,18.45478435,0.355915234,206.525,-1,12,5
0.50625,18.27229012,0.475716797,170.975,-1,12,5
0.77875,7.28255618,0.908460547,210.125,-1,12,5
0.34625,26.40724729,0.370812109,229.925,-1,12,5
0.65125,5.837442418,0.714543359,157.475,1,12,5
0.51875,20.30341566,0.630443359,166.475,1,12,5
0.68375,18.6851691,0.721997266,237.575,1,12,5
0.43875,29.84956553,0.433676953,189.425,1,12,5
0.42375,30.27587758,0.523728516,219.125,-1,12,5
0.56375,19.53554878,0.561459766,236.675,-1,12,5
0.41625,19.65638889,0.454362891,173.225,1,12,5
0.71125,16.31039982,0.759037109,162.875,-1,12,5
0.71375,8.245135727,0.681408203,220.025,1,12,5
0.30375,33.26764403,0.280873828,193.475,1,12,5
0.45125,12.92309557,0.514566016,179.525,1,12,5
0.67875,7.725879374,0.837619922,177.725,-1,12,5
0.31125,17.70613454,0.376515234,189.875,1,12,5
0.73875,5.94144247,0.656794922,172.325,1,12,5
0.55875,24.49056488,0.582671484,183.125,1,12,5
0.75375,18.22556799,0.863750391,208.325,1,12,5
0.51625,15.64190678,0.461882422,225.875,-1,12,5
0.39375,27.29161111,0.450474609,233.075,1,12,5
0.67125,15.92946462,0.644609766,160.175,1,12,5
0.76375,6.23655892,0.710526172,243.425,-1,12,5
0.61875,22.63372222,0.689326172,167.375,-1,12,5
0.49125,23.83228372,0.499386328,209.675,1,12,5
0.66375,10.23440207,0.698389453,188.975,-1,12,5
0.59625,23.75659853,0.600535547,228.125,1,12,5
0.35875,39.63286585,0.388234766,185.375,-1,12,5
0.6625,5.778632075,0.734960938,175.25,1,4,4
0.5375,8.116337209,0.555976563,238.25,1,4,4
0.3875,12.63669355,0.364492187,179.75,1,4,4
0.7125,7.622324561,0.870585937,206.75,1,4,4
0.3125,19.0883,0.340820313,220.25,-1,4,4
0.5875,11.06260638,0.695820312,161.75,-1,4,4
0.5125,13.72384146,0.453242187,202.25,1,4,4
0.7875,9.609722222,0.829335938,193.25,1,4,4
0.6875,11.7845,0.633789063,233.75,1,4,4
0.4125,20.93583333,0.480820312,242.75,-1,4,4
0.3375,27.17101852,0.336445312,157.25,-1,4,4
