,Radius,BStrength,ApexHeight,OrientationCme,iHelicity,realization,FactorB0,PoyntingFluxPerBSi,LperpTimesSqrtBSi
0,0.5675,0.4200396930634858,0.5689157844067797,0.5525,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
1,0.4525,0.05735035736445458,0.3480386657627118,0.10249999999999994,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
2,0.8524999999999999,0.014777477998777653,0.541725106440678,0.8775,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
3,0.12250000000000005,0.3232307787050012,0.21456726644067792,0.5075000000000002,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
4,0.7825000000000001,0.08541424700860062,0.6408151484745762,0.33250000000000013,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
5,0.03749999999999998,0.8903048536311602,0.13610434305084743,0.18250000000000013,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
6,0.25750000000000006,0.3950334571955094,0.2078013776271186,0.4625,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
7,0.8724999999999999,0.1935829609334514,0.5859062494915255,0.7625,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
8,0.13750000000000007,0.1462296439601503,0.2629740461016949,0.22250000000000006,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
9,0.2725000000000001,0.5059776316064669,0.3274645125423729,0.7825000000000001,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
10,0.9425,0.020755883220974294,0.773818326779661,0.9225000000000001,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
11,0.40249999999999997,0.09013600406212165,0.46879396203389834,0.5225000000000001,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
12,0.8175,0.035211738973826276,0.7795693857627118,0.16749999999999987,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
13,0.0625,0.26818434549413567,0.10487023322033896,0.7525,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
14,0.26250000000000007,0.13019424540513155,0.29112552949152537,0.9725,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
15,0.16249999999999998,0.4278347678571844,0.11723781830508472,0.15249999999999994,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
16,0.8825,0.042529872512589564,0.7845248935593221,0.6924999999999999,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
17,0.5975,0.07105244542976458,0.4648119701694915,0.44750000000000006,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
18,0.38750000000000007,0.3595806893522682,0.24932997830508474,0.7174999999999999,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
19,0.20750000000000002,0.48124258116690716,0.24575794440677962,0.6024999999999999,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
20,0.09750000000000003,0.6375233518545631,0.1363077328813559,0.4125,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
21,0.2025,0.2683205499666525,0.16042213966101693,0.8225,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
22,0.49749999999999994,0.29055023134108116,0.3041954454237288,0.9424999999999999,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
23,0.4625,0.21473376185463278,0.47088188610169485,0.29249999999999987,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
25,0.7725000000000001,0.06327415261307362,0.5603278603389831,0.8575000000000002,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
26,0.9625,0.1351607303453036,0.7447695972881356,0.48250000000000015,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
27,0.3275,0.15664963271262813,0.34932150372881354,0.1125,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
28,0.9325,0.12201091739345643,0.8989645125423726,0.6525,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
29,0.37250000000000005,0.22630922529205214,0.322963453559322,0.9875,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
30,0.6825,0.2414594977656007,0.6534931145762711,0.4024999999999999,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
31,0.48749999999999993,0.3398332194637907,0.560839513220339,0.7575000000000002,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
32,0.5425000000000001,0.07076058208251126,0.3675704447457626,0.6575000000000001,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
33,0.01750000000000007,0.7938298363764388,0.09868908881355927,0.7274999999999999,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
34,0.5775,0.28064971125937394,0.488524893559322,0.04249999999999987,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
35,0.9175000000000001,0.24203781584273917,0.5780376054237288,0.4375,1.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
36,0.35250000000000004,0.20195438897371004,0.43371451254237275,0.3524999999999999,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
37,0.5825000000000001,0.11525775670029302,0.5732823091525423,0.9025,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
38,0.6875000000000001,0.36353504672137055,0.5575926901694914,0.0024999999999999367,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
39,0.6975000000000001,0.18198069190852323,0.5003628176271185,0.7375,0.0,0.2727272727272727,0.12083333333333333,0.09854212500000001,0.43650555555555554
40,0.7925000000000001,0.11615111817567048,0.4710121816949152,0.11749999999999987,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
41,0.5475,0.2842006330217027,0.4961837925423729,0.6825000000000001,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
42,0.10750000000000004,0.22349163732783045,0.11458527593220337,0.30249999999999994,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
43,0.14250000000000007,0.2682684660378279,0.191661547118644,0.09249999999999987,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
44,0.5325000000000001,0.0569528646788298,0.4288998942372881,0.2774999999999999,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
45,0.07250000000000001,0.3771052486887574,0.04685540203389826,0.8825000000000002,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
46,0.7174999999999999,0.11169204288931182,0.7329592162711864,0.9774999999999999,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
47,0.22750000000000004,0.23608660963894057,0.2070132420338983,0.5875,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
48,0.3375,0.46637230994824747,0.43677171661016945,0.2375,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
49,0.5575,0.2551123808727055,0.3608840040677966,0.4875,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
50,0.1725,0.12848946393007946,0.23539036067796604,0.6424999999999998,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
51,0.4175000000000001,0.18488463156231338,0.3815397247457627,0.39249999999999985,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
52,0.12750000000000006,0.5489513296012011,0.23886069966101692,0.9375,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
53,0.9825,0.28432710118354615,0.8252431145762712,0.42250000000000004,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
54,0.8575,0.13190920553917226,0.7930842155932204,0.052499999999999936,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
55,0.25250000000000006,0.5523106858432273,0.23377383457627116,0.07749999999999993,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
56,0.9125,0.06425685757244078,0.6634030725423729,0.6725000000000001,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
57,0.10250000000000004,0.4414037084289024,0.2309231986440678,0.5774999999999999,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
58,0.6024999999999999,0.15497823511504308,0.5630121816949152,0.1875,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
59,0.8125000000000001,0.3257244129327914,0.7917240461016949,0.8375,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
60,0.7075000000000001,0.1570113207240244,0.47538294508474577,0.32250000000000006,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
